"Interval start","connection","main flow","sub flow 1","sub flow 2"
0,0,0,0,0
1,0,0,0,0
2,72,72,0,0
3,72,72,0,0
4,938,794,72,72
5,50441,49957,340,144
6,1.91594e+06,1.91557e+06,144,224
7,1.8615e+06,1.8615e+06,0,0
8,1.6218e+06,1.5645e+06,15152,42152
9,2.367e+06,928500,847500,591000
10,2.4285e+06,834000,1.1835e+06,411000
11,2.382e+06,528000,1.182e+06,672000
12,2.103e+06,628500,1.05e+06,424500
13,1.6335e+06,561000,688500,384000
14,2.025e+06,729000,747000,549000
15,2.229e+06,894000,532500,802500
16,2.4825e+06,1.0395e+06,670500,772500
17,2.6205e+06,969000,1.0185e+06,633000
18,2.3565e+06,858000,892500,606000
19,2.6655e+06,1.0305e+06,768000,867000
20,2.75407e+06,1.0155e+06,814573,924000
21,49188,12280,2288,34620
